Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta (5Y Monthly),PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est
120.44,117.83,0.00 x 1000,0.00 x 900,117.62 - 124.01,88.09 - 352.71,"39,950,464","44,919,239",327.44B,1.14,10.38,11.90,"Jan 31, 2023 - Feb 06, 2023",N/A (N/A),N/A,153.53
120.44,117.83,0.00 x 1000,0.00 x 900,117.62 - 124.01,88.09 - 352.71,"39,950,464","44,919,239",327.44B,1.14,10.38,11.90,"Jan 31, 2023 - Feb 06, 2023",N/A (N/A),N/A,153.53
120.44,117.83,0.00 x 1000,0.00 x 900,117.62 - 124.01,88.09 - 352.71,"39,950,464","44,919,239",327.44B,1.14,10.38,11.90,"Jan 31, 2023 - Feb 06, 2023",N/A (N/A),N/A,153.53
120.44,117.83,0.00 x 1000,0.00 x 900,117.62 - 124.01,88.09 - 352.71,"39,950,464","44,919,239",327.44B,1.14,10.38,11.90,"Jan 31, 2023 - Feb 06, 2023",N/A (N/A),N/A,153.53
120.44,117.83,0.00 x 1000,0.00 x 900,117.62 - 124.01,88.09 - 352.71,"39,950,464","44,919,239",327.44B,1.14,10.38,11.90,"Jan 31, 2023 - Feb 06, 2023",N/A (N/A),N/A,153.53
120.44,117.83,0.00 x 1000,0.00 x 900,117.62 - 124.01,88.09 - 352.71,"39,950,464","44,919,239",327.44B,1.14,10.38,11.90,"Jan 31, 2023 - Feb 06, 2023",N/A (N/A),N/A,153.53
120.44,117.83,0.00 x 1000,0.00 x 900,117.62 - 124.01,88.09 - 352.71,"39,950,464","44,919,239",327.44B,1.14,10.38,11.90,"Jan 31, 2023 - Feb 06, 2023",N/A (N/A),N/A,153.53
120.44,117.83,0.00 x 1000,0.00 x 900,117.62 - 124.01,88.09 - 352.71,"39,950,464","44,919,239",327.44B,1.14,10.38,11.90,"Jan 31, 2023 - Feb 06, 2023",N/A (N/A),N/A,153.53
120.44,117.83,0.00 x 1000,0.00 x 900,117.62 - 124.01,88.09 - 352.71,"39,950,464","44,919,239",327.44B,1.14,10.38,11.90,"Jan 31, 2023 - Feb 06, 2023",N/A (N/A),N/A,153.53
120.44,117.83,0.00 x 1000,0.00 x 900,117.62 - 124.01,88.09 - 352.71,"39,950,464","44,919,239",327.44B,1.14,10.38,11.90,"Jan 31, 2023 - Feb 06, 2023",N/A (N/A),N/A,153.53
120.44,117.83,0.00 x 1000,0.00 x 900,117.62 - 124.01,88.09 - 352.71,"39,950,464","44,919,239",327.44B,1.14,10.38,11.90,"Jan 31, 2023 - Feb 06, 2023",N/A (N/A),N/A,153.53
120.44,117.83,0.00 x 1000,0.00 x 900,117.62 - 124.01,88.09 - 352.71,"39,950,464","44,919,239",327.44B,1.14,10.38,11.90,"Jan 31, 2023 - Feb 06, 2023",N/A (N/A),N/A,153.53
120.44,117.83,0.00 x 1000,0.00 x 900,117.62 - 124.01,88.09 - 352.71,"39,950,464","44,919,239",327.44B,1.14,10.38,11.90,"Jan 31, 2023 - Feb 06, 2023",N/A (N/A),N/A,153.53
120.44,117.83,0.00 x 1000,0.00 x 900,117.62 - 124.01,88.09 - 352.71,"39,950,464","44,919,239",327.44B,1.14,10.38,11.90,"Jan 31, 2023 - Feb 06, 2023",N/A (N/A),N/A,153.53
120.44,117.83,0.00 x 1000,0.00 x 900,117.62 - 124.01,88.09 - 352.71,"39,950,464","44,919,239",327.44B,1.14,10.38,11.90,"Jan 31, 2023 - Feb 06, 2023",N/A (N/A),N/A,153.53
120.44,117.83,0.00 x 1000,0.00 x 900,117.62 - 124.01,88.09 - 352.71,"39,950,464","44,919,239",327.44B,1.14,10.38,11.90,"Jan 31, 2023 - Feb 06, 2023",N/A (N/A),N/A,153.53
120.44,117.83,0.00 x 1000,0.00 x 900,117.62 - 124.01,88.09 - 352.71,"39,950,464","44,919,239",327.44B,1.14,10.38,11.90,"Jan 31, 2023 - Feb 06, 2023",N/A (N/A),N/A,153.53
120.44,117.83,0.00 x 1000,0.00 x 900,117.62 - 124.01,88.09 - 352.71,"39,950,464","44,919,239",327.44B,1.14,10.38,11.90,"Jan 31, 2023 - Feb 06, 2023",N/A (N/A),N/A,153.53
120.44,117.83,0.00 x 1000,0.00 x 900,117.62 - 124.01,88.09 - 352.71,"39,950,464","44,919,239",327.44B,1.14,10.38,11.90,"Jan 31, 2023 - Feb 06, 2023",N/A (N/A),N/A,153.53
120.44,117.83,0.00 x 1000,0.00 x 900,117.62 - 124.01,88.09 - 352.71,"39,950,464","44,919,239",327.44B,1.14,10.38,11.90,"Jan 31, 2023 - Feb 06, 2023",N/A (N/A),N/A,153.53
